Site,Start,End
R1_Interior,7/4/2018,8/15/2018
R2_Interior,7/5/2018,8/15/2018
R3_Interior,7/6/2018,8/15/2018
23_Interior,7/6/2018,8/14/2018
20_Interior,7/6/2018,8/14/2018
9_Interior,6/27/2018,8/7/2018
11_Interior,6/27/2018,8/7/2018
15_Interior,6/28/2018,8/7/2018
21_Interior,6/29/2018,8/7/2018
22_Interior,6/30/2018,8/14/2018
25_Interior,6/29/2018,8/8/2018
29_Interior,6/30/2018,8/8/2018
6_Coast,6/5/2018,7/18/2018
East_Coast,6/7/2018,7/18/2018
Spring_Coast,6/7/2018,7/18/2018
MaTree_Coast,6/9/2018,7/18/2018
Griffiths_Coast,6/22/2018,7/20/2018
G_Coast,6/22/2018,7/18/2018
9_Coast,5/24/2018,7/17/2018
14_Coast,5/23/2018,7/19/2018
23_Coast,5/24/2018,7/19/2018
24_Coast,5/25/2018,7/19/2018
27_Coast,5/30/2018,7/19/2018
20_Coast,6/1/2018,7/17/2018
